	N2_mockRNAi_1	N2_mockRNAi_2	N2_rege1RNAi_1	N2_rege1RNAi_2	glp1_mockRNAi_1	glp1_mockRNAi_2	glp1_rege1RNAi_1	glp1_rege1RNAi_2
WBGene00010694	5.630311948	5.597542874	4.968294276	5.203255955	6.340383178	6.264758365	5.501713928	6.426750572
WBGene00010704	9.462225163	9.575308821	9.29252151	9.229323705	9.459750324	9.38451909	8.828667107	9.304309605
WBGene00010705	7.444030544	7.470282012	7.237125826	6.767454821	8.334864731	8.187058368	7.466995583	8.073861463
WBGene00010706	7.191016465	7.153506377	5.99385437	6.016171327	6.787009314	6.578803461	5.038805731	5.372986386
WBGene00010707	3.312049054	3.495353523	3	3.678849386	3.439001031	3	3	3.464679968
WBGene00010708	4.06116351	3.967823512	3.815515264	3.678849386	4.047535517	3.988534886	3.93115879	4.333449363
WBGene00010700	10.11517613	10.50511896	10.34415743	11.08229597	10.67720983	10.68961557	10.50552315	10.76893235
WBGene00004276	8.699054825	9.100029694	8.907394639	9.036784713	9.061734722	9.008000001	9.228232616	9.090330753
WBGene00010701	10.11391919	10.28909692	10.07139557	10.16997782	10.21530096	10.19751187	10.22982795	10.31594653
WBGene00010702	9.864721674	9.789911411	9.77033864	9.796989365	10.28933406	10.28090555	9.595934825	10.10779979
WBGene00001520	11.85201881	11.9086403	11.79288981	11.79192731	12.29742867	12.28847897	12.48215299	12.28444242
WBGene00010703	9.587050837	9.69232307	9.247536888	9.500300311	9.550132443	9.543276873	8.972518431	9.411242234
WBGene00004029	10.07698321	9.899580667	9.84535193	9.893474095	9.912931709	9.82423684	9.687628386	9.898572985
WBGene00010714	4.962599525	4.323144747	4.820929961	4.715136667	4.753220266	4.308158984	4.198769781	4.333449363
WBGene00010709	10.04172315	9.795242733	9.824544902	9.960434411	10.03663578	9.776467901	10.00965823	9.961511138
WBGene00010710	3	3	3	3	3	3	3	3
WBGene00010711	5.68550701	4.789936556	5.53925027	5.165108763	5.429358503	5.407553769	5.468331706	5.263068045
WBGene00010712	4.609987739	4.951462092	4.009515923	4.661341425	5.33080887	5.267132669	5.288747021	4.968429636
WBGene00010713	11.8122735	11.84751283	11.67802683	11.76508072	11.73035438	11.6622211	11.21435651	11.72430611
WBGene00019545	3.445943361	3.184667984	3.325741999	3	3.671542928	3.577329224	3.332378776	3.172065523
WBGene00019554	9.554064408	9.614037219	9.432376343	9.492619452	9.647179464	9.640764935	8.905506192	9.526736876
WBGene00019547	6.986446136	7.52264689	6.460179041	5.346493141	7.047077474	6.897374681	5.715978033	6.321004217
WBGene00019548	3	3	3	3.163720912	3	3	3	3
